acheter	to buy	[sound:acheter.mp3]
advenir	to happen	[sound:advenir.mp3]
aider	to help, assist	[sound:aider.mp3]
aimer	to like, to love	[sound:aimer.mp3]
ajouter	to add	[sound:ajouter.mp3]
appeler	to call, name, appeal	[sound:appeler.mp3]
apporter	to bring, bear	[sound:apporter.mp3]
apprendre	to learn	[sound:apprendre.mp3]
arrêter	to stop, arrest	[sound:arr%C3%AAter.mp3]
attendre	to wait, wait for, expect	[sound:attendre.mp3]
connaître	to know, be acquainted	[sound:conna%C3%AEtre.mp3]
continuer	to continue	[sound:continuer.mp3]
contrôler	to check, inspect, test, supervise, control	[sound:contr%C3%B4ler.mp3]
corriger	to correct	[sound:corriger.mp3]
coucher	to put to bed, lay, flatten	[sound:coucher.mp3]
couper	to cut, switch off	[sound:couper.mp3]
courir	to run, race	[sound:courir.mp3]
coûter	to cost	[sound:co%C3%BBter.mp3]
croire	to believe	[sound:croire.mp3]
cuire	to cook	[sound:cuire.mp3]
décider	to decide	[sound:d%C3%A9cider.mp3]
décrire	to describe	[sound:d%C3%A9crire.mp3]
demander	to ask for	[sound:demander.mp3]
enlever	to carry away, take away, remove	[sound:enlever.mp3]
enseigner	to teach	[sound:enseigner.mp3]
entendre	to hear, understand	[sound:entendre.mp3]
envoyer	to send	[sound:envoyer.mp3]
espérer	to hope	[sound:esp%C3%A9rer.mp3]
essayer	to try	[sound:essayer.mp3]
étudier	to study	[sound:%C3%A9tudier.mp3]
inviter	to invite	[sound:inviter.mp3]
jouer	to play, act (in a play), gamble	[sound:jouer.mp3]
laver	to wash	[sound:laver.mp3]
lever	to lift, raise	[sound:lever.mp3]
lire	to read	[sound:lire.mp3]
manger	to eat	[sound:manger.mp3]
mettre	to put (set), put on, place<br /><br />*many different meanings, and very common with expressions	[sound:mettre.mp3]
nager	to swim	[sound:nager.mp3]
pleurer	to cry, weep, mourn	[sound:pleurer.mp3]
pleuvoir	to rain	[sound:pleuvoir.mp3]
porter	to wear, to carry	[sound:porter.mp3]
préférer	to prefer	[sound:pr%C3%A9f%C3%A9rer.mp3]
prendre	to take (as in grab, bring, take notes,etc).<br /><br />*many uses, very common in expressions	[sound:prendre.mp3]
se promener	to take a walk	[sound:se+promener.mp3]
promettre	promise	[sound:promettre.mp3]
proposer	to propose, suggest	[sound:proposer.mp3]
provenir	to be from, be the result of, be due to	[sound:provenir.mp3]
quitter	to leave, quit, split up	[sound:quitter.mp3]
raconter	to tell, recount	[sound:raconter.mp3]
recevoir	to receive, get	[sound:recevoir.mp3]
reconnaître	to recognize, acknowledge	[sound:reconna%C3%AEtre.mp3]
savoir	to know (how)	[sound:savoir.mp3]
sentir	to feel, smell, perceive	[sound:sentir.mp3]
souhaiter	to wish	[sound:souhaiter.mp3]
suivre	to follow	[sound:suivre.mp3]
susciter	to arouse, give rise to	[sound:susciter.mp3]
tenir	to hold, grasp	[sound:tenir.mp3]
terminer	to terminate, finish, end	[sound:terminer.mp3]
avoir besoin	to need	[sound:avoir+besoin.mp3]
blesser	to hurt, injure, wound, offend	[sound:blesser.mp3]
boire	to drink	[sound:boire.mp3]
brûler	to burn	[sound:br%C3%BBler.mp3]
cacher	to hide	[sound:cacher.mp3]
changer	to change	[sound:changer.mp3]
choisir	to choose, select, pick	[sound:choisir.mp3]
commencer	to begin, start, commence	[sound:commencer.mp3]
compléter	to make up, complete, complement, add to	[sound:compl%C3%A9ter.mp3]
comprendre	to understand<br>to include	[sound:comprendre.mp3]
dépêcher	to dispatch	[sound:d%C3%A9p%C3%AAcher.mp3]
détester	to detest, dislike, hate	[sound:d%C3%A9tester.mp3]
dire	to say, tell	[sound:dire.mp3]
donner 	to give	[sound:donner+.mp3]
dormir	to sleep	[sound:dormir.mp3]
douter	to doubt	[sound:douter.mp3]
écouter	to listen	[sound:%C3%A9couter.mp3]
écrire	to write	[sound:%C3%A9crire.mp3]
effacer	to erase, rub out, delete	[sound:effacer.mp3]
élever	to raise, rear, bring up	[sound:%C3%A9lever.mp3]
fermer	to close	[sound:fermer.mp3]
finir	to finish, end, terminate, complete	[sound:finir.mp3]
forcer	to force	[sound:forcer.mp3]
fumer	to smoke, steam	[sound:fumer.mp3]
gagner	to win, earn, gain	[sound:gagner.mp3]
garder	to guard, keep, retain	[sound:garder.mp3]
goûter	to taste, have a snack, enjoy	[sound:go%C3%BBter.mp3]
haïr	to hate	[sound:ha%C3%AFr.mp3]
inclure	to include, enclose	[sound:inclure.mp3]
s'inquiéter	to worry, to be upset	[sound:s%27inqui%C3%A9ter.mp3]
neiger	to snow	[sound:neiger.mp3]
nettoyer	to clean	[sound:nettoyer.mp3]
noter	to write down<br>to notice<br>to mark, grade, assess	[sound:noter.mp3]
obéir	to obey	[sound:ob%C3%A9ir.mp3]
obtenir	to obtain, to get	[sound:obtenir.mp3]
occuper	to occupy	[sound:occuper.mp3]
offrir	to offer	[sound:offrir.mp3]
oublier	to forget	[sound:oublier.mp3]
ouvrir	to open	[sound:ouvrir.mp3]
pardonner	to pardon, forgive	[sound:pardonner.mp3]
parler	to talk	[sound:parler.mp3]
payer	to pay	[sound:payer.mp3]
penser	to think	[sound:penser.mp3]
perdre	to lose (something, location, etc)	[sound:perdre.mp3]
placer 	to place, put	[sound:placer+.mp3]
refaire	to redo	[sound:refaire.mp3]
réfléchir	to think, meditate, reflect, ponder	[sound:r%C3%A9fl%C3%A9chir.mp3]
refuser	to refuse, withhold	[sound:refuser.mp3]
regarder	to look at, watch	[sound:regarder.mp3]
regretter	to regret, miss	[sound:regretter.mp3]
remercier	to thank	[sound:remercier.mp3]
remplacer	to replace	[sound:remplacer.mp3]
remplir	to fill	[sound:remplir.mp3]
répéter	to repeat. rehearse	[sound:r%C3%A9p%C3%A9ter.mp3]
répondre	to respond, reply, answer	[sound:r%C3%A9pondre.mp3]
réussir	to succeed, result	[sound:r%C3%A9ussir.mp3]
se réveiller	to wake up	[sound:se+r%C3%A9veiller.mp3]
révéler	to reveal, discover, bring to fame	[sound:r%C3%A9v%C3%A9ler.mp3]
aller	to go	[sound:aller.mp3]
arriver	to arrive<br />to happen	[sound:arriver.mp3]
entrer	to enter, come in, go in	[sound:entrer.mp3]
monter	to go up, climb, take up, bring up, mount	[sound:monter.mp3]
naître	to be born	[sound:na%C3%AEtre.mp3]
mourir	to die	[sound:mourir.mp3]
